Horas,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado
7 a 8,TCP/IP,TCP/IP,,,,
8 a 9,Prof. Jenny Torres,Prof. Jenny Torres,,,Diseño de Procesos,
9 a 10 ,Computación Distribuida,Habilidades Directivas,,Computación Distribuida,Organizacionales,
10 a 11,Prof. Victor Velepucha,Prof. Myriam Peñafiel,,Prof. Victor Velepucha,Porf.Marco Santorum,
11 a 12,Ingeniería de Software II,Computación Distribuida,Ingeniería de Software II,Legislación Informática,,
12 a 13,Prof. Maritzol Tenemaza,Prof. Victor Velepucha,Prof. Maritzol Tenemaza,Prof. Marco Santorum,,
13 a 14,,,,,,
14 a 15,,Tecnologías de Seguridad,Ingeniería de Software I,Tecnologías de Seguridad,Diseño de Procesos,
15 a 16,,Prof. Sang Yoo,Prof. Raúl Córdova,Prof. Sang Yoo,Organizacionales,
16 a 17,Ingeniería de Software I,,Inteligencia Artificial,Inteligencia Artificial,Porf.Marco Santorum,
17 a 18,Prof. Raúl Córdova,,Prof. Henry Paz,Prof. Henry Paz,,
18 a 19,Maestría de Software,Maestría de Software,Maestría de Software,Maestría de Software,Maestría de Software,
19 a 20,,,,,,
20 a 21,,,,,,
21 a 22,,,,,,
